標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247091213,,,葉用甘藷,Sweet potato tips,Ipomoea batatas  (L.) Lam.,地瓜葉，番薯葉，甘薯葉
4711247091299,,,葉用甘藷,Sweet potato tips,Ipomoea batatas  (L.) Lam.,地瓜葉，番薯葉，甘薯葉
4711247093491,SH9,,鮮食麻竹筍,Bamboo shoot ， Bamboo sprout,Dendrocalamus latiflorus  Munro,大綠竹，瓦坭竹，巨麻竹，巨竹，美濃麻竹
4711247095006,FU3,統稱(其他),石蓮花,Ghost Plant leaves,Graptopetalum paraguayense,風車草、蓮座草
4711247095013,,統稱(其他),石蓮花,Ghost Plant leaves,Graptopetalum paraguayense,風車草、蓮座草
4711247095099,,統稱(其他),石蓮花,Ghost Plant leaves,Graptopetalum paraguayense,風車草、蓮座草
4711247096003,,統稱(其他),辣根,Horseradish,Armoracia rusticana  (Lam.) P. Gaertn. B. Mey. et Scherb.,山葵蘿蔔、洋山葵
4711247096010,,統稱(其他),辣根,Horseradish,Armoracia rusticana  (Lam.) P. Gaertn. B. Mey. et Scherb.,山葵蘿蔔、洋山葵
4711247096096,,統稱(其他),辣根,Horseradish,Armoracia rusticana  (Lam.) P. Gaertn. B. Mey. et Scherb.,山葵蘿蔔、洋山葵
4711247097000,,統稱(其他),芥菜類,NA,,
4711247175012,,統稱(其他),甜瓜類,NA,,
4711247175029,,統稱(其他),甜瓜類,NA,,
4711247175043,,統稱(其他),甜瓜類,NA,,
4711247175098,,統稱(其他),甜瓜類,NA,,
4711247175104,,蜜世界，蜜天下，哈密甜，甜蜜寶，塞橙蜜，秋鳳，夏鳳，仙杯，女神，玉姑，狀元,光皮甜瓜,Winter melon,Cucumis melo  L.  inodorus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
4711247175111,,蜜世界，蜜天下，哈密甜，甜蜜寶，塞橙蜜，秋鳳，夏鳳，仙杯，女神，玉姑，狀元,光皮甜瓜,Winter melon,Cucumis melo  L.  inodorus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
4711247175128,,蜜世界，蜜天下，哈密甜，甜蜜寶，塞橙蜜，秋鳳，夏鳳，仙杯，女神，玉姑，狀元,光皮甜瓜,Winter melon,Cucumis melo  L.  inodorus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
4711247175142,,蜜世界，蜜天下，哈密甜，甜蜜寶，塞橙蜜，秋鳳，夏鳳，仙杯，女神，玉姑，狀元,光皮甜瓜,Winter melon,Cucumis melo  L.  inodorus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
4711247175197,W9,蜜世界，蜜天下，哈密甜，甜蜜寶，塞橙蜜，秋鳳，夏鳳，仙杯，女神，玉姑，狀元,光皮甜瓜,Winter melon,Cucumis melo  L.  inodorus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
4711247175203,,秋燁1號，秋燁2號，香華，台南9號，淑芬，秋香，翠蜜，秋蜜，天香，天華，綠蜜石，雪蓮香,網紋甜瓜,Muskmelon， Netted melon,Cucumis melo  L.  reticulatus  Naud.,洋香瓜，蜜瓜，厚皮甜瓜
